Lon, Lat, Population
174.746582, -36.760189, 33.000000
172.626205, -43.557514, 30.000000
174.599930, -36.801403, 21.000000
174.912506, -36.948372, 39.000000
174.741257, -36.748344, 18.000000
175.994659, -37.623669, 0.000000
175.420258, -40.551918, 24.000000
172.595245, -43.562401, 24.000000
175.404800, -38.215248, 21.000000
175.598190, -40.356403, 9.000000
174.017685, -35.733719, 18.000000
175.757736, -37.980579, 33.000000
172.723618, -43.517471, 9.000000
173.924057, -41.113632, 0.000000
170.497421, -45.876301, 9.000000
173.293335, -41.267010, 21.000000
174.078049, -39.078022, 39.000000
175.872116, -37.621803, 36.000000
174.773438, -36.887749, 21.000000
172.693298, -43.512882, 33.000000
175.526276, -37.068409, 45.000000
175.928970, -37.444569, 63.000000
174.796936, -41.326912, 42.000000
175.779221, -37.803699, 12.000000
174.503113, -36.788418, 30.000000
174.899231, -36.980869, 57.000000
170.186539, -44.580154, 3.000000
170.870606, -44.239281, 21.000000
176.831787, -39.620113, 42.000000
174.802673, -41.218075, 60.000000
174.620407, -36.785896, 24.000000
168.359344, -46.407360, 21.000000
174.941666, -37.067013, 15.000000
174.909897, -36.949070, 54.000000
172.720428, -43.487862, 33.000000
172.617859, -43.558544, 21.000000
174.328857, -35.710480, 18.000000
170.975662, -45.093616, 9.000000
172.663162, -43.553825, 36.000000
175.925537, -39.843567, 6.000000
174.052597, -35.839161, 6.000000
172.206940, -43.376144, 66.000000
175.706162, -39.569695, 3.000000
174.793961, -36.618839, 30.000000
176.202866, -37.657597, 27.000000
175.001144, -40.922909, 3.000000
175.740082, -38.053272, 12.000000
174.762085, -41.286057, 9.000000
174.825790, -36.896313, 30.000000
174.684403, -36.912579, 21.000000
172.301804, -43.617786, 3.000000
170.503113, -45.880314, 0.000000
175.746170, -38.914890, 3.000000
174.046677, -39.080097, 15.000000
174.303451, -35.677185, 39.000000
168.515762, -45.034821, 54.000000
172.643249, -43.522472, 12.000000
174.891174, -36.971302, 33.000000
174.647354, -36.740520, 39.000000
172.537994, -43.545589, 21.000000
175.084518, -41.105099, 54.000000
175.160355, -38.336971, 24.000000
175.993164, -37.685329, 30.000000
176.131744, -37.739891, 72.000000
173.828293, -41.511002, 99.000000
175.073044, -39.913380, 9.000000
174.263184, -39.188671, 6.000000
175.111008, -41.080341, 15.000000
178.029877, -38.654434, 60.000000
175.029236, -39.916016, 24.000000
174.825455, -36.867348, 45.000000
174.935867, -39.894985, 63.000000
175.021988, -39.902714, 9.000000
174.909744, -36.932766, 45.000000
175.852188, -38.209824, 54.000000
175.579788, -40.349392, 15.000000
174.761993, -36.891907, 33.000000
170.487808, -45.838066, 0.000000
175.108749, -41.089584, 24.000000
175.722992, -36.829880, 6.000000
172.907303, -34.564343, 9.000000
176.496460, -40.211430, 33.000000
175.886368, -38.930641, 6.000000
174.648941, -36.891319, 39.000000
